strike,expiry,days_to_expiry,option_type,market_price,implied_vol,moneyness
718.0,2026-06-29,3,call,14.53,0.101411,-0.019584
719.0,2026-06-29,3,call,13.515,0.088156,-0.018192
720.0,2026-06-29,3,call,12.685,0.119704,-0.016803
721.0,2026-06-29,3,call,11.825,0.127431,-0.015415
722.0,2026-06-29,3,call,10.755,0.11206,-0.014029
723.0,2026-06-29,3,call,9.955,0.121085,-0.012644
724.0,2026-06-29,3,call,9.075,0.1203,-0.011262
725.0,2026-06-29,3,call,8.185,0.117377,-0.009882
730.0,2026-06-29,3,call,4.45,0.114906,-0.003009
731.0,2026-06-29,3,call,3.905,0.117073,-0.00164
732.0,2026-06-29,3,call,3.29,0.114571,-0.000273
733.0,2026-06-29,3,call,2.765,0.113541,0.001092
734.0,2026-06-29,3,call,2.255,0.111045,0.002455
735.0,2026-06-29,3,call,1.82,0.109299,0.003817
736.0,2026-06-29,3,call,1.42,0.106679,0.005176
737.0,2026-06-29,3,call,1.115,0.105763,0.006534
738.0,2026-06-29,3,call,0.855,0.10462,0.00789
739.0,2026-06-29,3,call,0.635,0.103087,0.009244
740.0,2026-06-29,3,call,0.455,0.101264,0.010596
741.0,2026-06-29,3,call,0.315,0.099388,0.011947
742.0,2026-06-29,3,call,0.225,0.099089,0.013296
743.0,2026-06-29,3,call,0.165,0.099767,0.014642
744.0,2026-06-29,3,call,0.115,0.099663,0.015987
745.0,2026-06-29,3,call,0.075,0.098746,0.017331
746.0,2026-06-29,3,call,0.055,0.100072,0.018672
747.0,2026-06-29,3,call,0.035,0.09942,0.020011
748.0,2026-06-29,3,call,0.035,0.105224,0.021349
749.0,2026-06-29,3,call,0.025,0.106151,0.022685
750.0,2026-06-29,3,call,0.025,0.11167,0.024019
751.0,2026-06-29,3,call,0.015,0.110192,0.025352
752.0,2026-06-29,3,call,0.015,0.115376,0.026683
645.0,2026-06-29,3,put,0.015,0.48018,-0.126803
650.0,2026-06-29,3,put,0.015,0.453431,-0.119081
655.0,2026-06-29,3,put,0.015,0.426772,-0.111418
660.0,2026-06-29,3,put,0.015,0.400194,-0.103814
665.0,2026-06-29,3,put,0.015,0.373683,-0.096267
670.0,2026-06-29,3,put,0.015,0.347226,-0.088776
675.0,2026-06-29,3,put,0.015,0.320809,-0.081341
680.0,2026-06-29,3,put,0.015,0.294412,-0.073961
685.0,2026-06-29,3,put,0.025,0.282407,-0.066635
690.0,2026-06-29,3,put,0.025,0.254802,-0.059362
695.0,2026-06-29,3,put,0.035,0.236005,-0.052142
700.0,2026-06-29,3,put,0.045,0.213825,-0.044973
701.0,2026-06-29,3,put,0.055,0.213374,-0.043546
702.0,2026-06-29,3,put,0.065,0.212046,-0.04212
703.0,2026-06-29,3,put,0.065,0.205888,-0.040697
704.0,2026-06-29,3,put,0.075,0.203771,-0.039275
705.0,2026-06-29,3,put,0.085,0.201114,-0.037856
706.0,2026-06-29,3,put,0.095,0.198004,-0.036438
707.0,2026-06-29,3,put,0.105,0.194504,-0.035023
708.0,2026-06-29,3,put,0.115,0.190661,-0.03361
709.0,2026-06-29,3,put,0.125,0.186513,-0.032198
710.0,2026-06-29,3,put,0.135,0.182085,-0.030789
711.0,2026-06-29,3,put,0.175,0.183441,-0.029381
712.0,2026-06-29,3,put,0.175,0.176316,-0.027976
713.0,2026-06-29,3,put,0.215,0.175935,-0.026572
714.0,2026-06-29,3,put,0.255,0.174457,-0.025171
715.0,2026-06-29,3,put,0.285,0.170827,-0.023771
716.0,2026-06-29,3,put,0.325,0.167869,-0.022374
